"page_id","page_name","page_type","jurisdiction","politics_type","gov_level","electorate","party","page_link"
"101063326158536",Kellie Sloane - Liberal Candidate for Vaucluse,Politics,NSW,Candidate,State,Vaucluse,Liberal,https://www.facebook.com/101063326158536
"101069089503658",Alex Karki - Labor Candidate for Kellyville,Politics,NSW,Candidate,State,Kellyville,ALP,https://www.facebook.com/101069089503658
"101076159494800",Nick Ward for Sydney,Politics,NSW,Candidate,State,Sydney,Green,https://www.facebook.com/101076159494800
"101121939366265",Kylie Gaston - Labor for South West Coast,Politics,VIC,Candidate,State,South-West Coast,ALP,https://www.facebook.com/101121939366265
"101125548152278",Vote Easy,Politics,"",Misc,"","","",https://www.facebook.com/101125548152278
"101131435034515",Gabrielle de Vietri,Politics,VIC,Candidate,State,Richmond,Green,https://www.facebook.com/101131435034515
"101144422547079",Pradeep Pathi - Liberal Candidate for Greenway,Politics,NSW,Candidate,Federal,Greenway,Liberal,https://www.facebook.com/101144422547079
"101145735420234",Allison Bluck - Liberal for Mayo,Politics,SA,Candidate,Federal,Mayo,Liberal,https://www.facebook.com/101145735420234
"101146602737130",Michelle Maibaum - Greens for Pakenham,Politics,VIC,Candidate,State,Pakenham,Green,https://www.facebook.com/101146602737130
"101149561446436",Laura Gerber MP,Politics,QLD,Candidate,State,Currumbin,LNP,https://www.facebook.com/101149561446436
"101157053642727",Senator Malarndirri McCarthy - Northern Territory,Politics,NT,Candidate,Federal,NT,ALP,https://www.facebook.com/101157053642727
"101170269429310",Dr. Hsiang-Han Hsieh - Greens Candidate for Oakleigh,Politics,VIC,Candidate,State,Oakleigh,Green,https://www.facebook.com/101170269429310
"101176905883779",Sarah O'Donnell - Independent Candidate for Mordialloc,Politics,VIC,Candidate,State,Mordialloc,Independent,https://www.facebook.com/101176905883779
"101179955799573",Ross Lyman,Politics,VIC,Candidate,Federal,Indi,Liberal,https://www.facebook.com/101179955799573
"101199832839225",Nathan Bracken - Liberal Candidate for The Entrance,Politics,NSW,Candidate,State,The Entrance,Liberal,https://www.facebook.com/101199832839225
"101216732368708",Zhi Soon - Labor for Banks,Politics,NSW,Candidate,Federal,Banks,ALP,https://www.facebook.com/101216732368708
"101264792801766",Nurul Khan - Labor Candidate for Western Metropolitan Region,Politics,VIC,Candidate,State,Western Metropolitan,ALP,https://www.facebook.com/101264792801766
"101267462897328",Vote Crouch Out,Politics,NSW,Misc,State,Terrigal,Unknown,https://www.facebook.com/101267462897328
"101277559040601",Friends of The Real Independents,Politics,NSW,Misc,State,North Sydney,Independent,https://www.facebook.com/101277559040601
"101286455994160",Lorna Dent - Labor for Evelyn,Politics,VIC,Candidate,State,Evelyn,ALP,https://www.facebook.com/101286455994160
"101292272504929",Mike Cains - Liberal for Whitlam,Politics,NSW,Candidate,Federal,Whitlam,Liberal,https://www.facebook.com/101292272504929
"101302639176554",Peter Heggie for Kaurna - Pauline Hanson's One Nation Candidate,Politics,SA,Candidate,State,Kaurna,One Nation,https://www.facebook.com/101302639176554
"101317875732604",Dr Sophie Scamps,Politics,NSW,Candidate,Federal,Mackellar,Independent,https://www.facebook.com/101317875732604
"101320028320143",Caitlin Collins MLA,Politics,WA,Candidate,State,"",ALP,https://www.facebook.com/101320028320143
"101335765831650",Australian Communist Party - Queensland,Politics,"",Party,"","",Australian Communist Party,https://www.facebook.com/101335765831650
"101356533405538",Jason Clare,Politics,NSW,Candidate,Federal,Blaxland,ALP,https://www.facebook.com/101356533405538
"101364735707018",Trish Frail - Greens for Parkes,Politics,NSW,Candidate,Federal,Parkes,Green,https://www.facebook.com/101364735707018
"101389435324350",Socialist Alliance FNQ,Politics,"",Party,"","",Socialist Alliance,https://www.facebook.com/101389435324350
"101436399527477",Greens for Wahroonga,Politics,NSW,Candidate,State,Wahroonga,Green,https://www.facebook.com/101436399527477
"101441155708163",Rob Sinclair,Politics,NSW,Candidate,Federal,Parramatta,Independent,https://www.facebook.com/101441155708163
"101445619187940",Bennelong Labor,Politics,"",Party,Federal,Bennelong,ALP,https://www.facebook.com/101445619187940
"101457271423792",Bev Walters,Politics,QLD,Candidate,State,Capalaba,LNP,https://www.facebook.com/101457271423792
"101496262472995",Liz Suduk - One Nation,Politics,QLD,Candidate,Federal,Blair,One Nation,https://www.facebook.com/101496262472995
"101499332500615",Kashmir Miller - Greens for Page,Politics,NSW,Candidate,Federal,Page,Green,https://www.facebook.com/101499332500615
"101522374769306",Kirstie Smolenski for Groom,Politics,WA,Candidate,Federal,Groom,Independent,https://www.facebook.com/101522374769306
"101532844888424",Graham Reynolds - Liberal for Wright,Politics,SA,Candidate,State,Wright,Liberal,https://www.facebook.com/101532844888424
"101538059109716",Trevor Ross - Labor for Lindsay,Politics,NSW,Candidate,Federal,Lindsay,ALP,https://www.facebook.com/101538059109716
"101546263223119",Scott Morrison (ScoMo),Politics,AU,Leader,Federal,Cook,Liberal,https://www.facebook.com/101546263223119
"101561569144072",Sam Kayal - Liberal for Werriwa,Politics,NSW,Candidate,Federal,Werriwa,Liberal,https://www.facebook.com/101561569144072
"101585512429322",Ben Roughley - Liberal Democrats Candidate for Chifley,Politics,NSW,Candidate,Federal,Chifley,Liberal Democrats,https://www.facebook.com/101585512429322
"101606898126747",Tom Smith - Member for Bundaberg,Politics,QLD,Candidate,State,Bundaberg,ALP,https://www.facebook.com/101606898126747
"101618759189682",Jerry Nockles - Liberal Candidate for Eden-Monaro,Politics,NSW,Candidate,Federal,Eden-Monaro,Liberal,https://www.facebook.com/101618759189682
"101633115834135",Dr Barry Reed- Liberal Democrats Candidate for Shortland,Politics,NSW,Candidate,Federal,Shortland,Liberal Democrats,https://www.facebook.com/101633115834135
"101668085872760","Heather Armstrong, Greens for North Sydney",Politics,NSW,Candidate,Federal,North Sydney,Green,https://www.facebook.com/101668085872760
"101686722458721",Adam Zahra for Campbelltown - Pauline Hanson's One Nation,Politics,NSW,Candidate,State,Campbelltown,One Nation,https://www.facebook.com/101686722458721
"101692151754078",Geoff Baker MLA,Politics,WA,Candidate,State,South Perth,ALP,https://www.facebook.com/101692151754078
"101705919299768",Alison Marchant - Labor for Bellarine,Politics,VIC,Candidate,State,Bellarine,ALP,https://www.facebook.com/101705919299768
"101719048875027",John Ruddick - Liberal Democrats Candidate for NSW,Politics,NSW,Candidate,State,Legislative Council,Liberal Democrats,https://www.facebook.com/101719048875027
"101745409009867",Jonathan Pietzsch - The Nationals,Politics,SA,Candidate,Federal,Barker,Nationals,https://www.facebook.com/101745409009867
"101753602645036",Skye Tito for Sydney,Politics,NSW,Candidate,State,Sydney,ALP,https://www.facebook.com/101753602645036
"101791425839017",Jacqueline Holroyd,Politics,WA,Candidate,Federal,Tangney,Liberal Democrats,https://www.facebook.com/101791425839017
"101798695826928",Gary Biggs- Liberal Democrats Richmond,Politics,VIC,Candidate,State,Richmond,Liberal Democrats,https://www.facebook.com/101798695826928
"101831229396004",Paul Hopper Independent for Werribee,Politics,VIC,Candidate,State,Werribee,Independent,https://www.facebook.com/101831229396004
"101872989363808",Independent Pittwater,Politics,"","","","",Independent,https://www.facebook.com/101872989363808
"101908562227879",NSW One Nation,Politics,NSW,Party,State,"",One Nation,https://www.facebook.com/101908562227879
"101915752794492",Julia Little - Labor for Drummoyne,Politics,NSW,Candidate,State,Drummoyne,ALP,https://www.facebook.com/101915752794492
"101921012445815",Nicole Ta-Ei Werner,Politics,VIC,Candidate,State,Box Hill,Liberal,https://www.facebook.com/101921012445815
"101929529433523",Dominic King for Oxley,Politics,NSW,Candidate,State,Oxley,Green,https://www.facebook.com/101929529433523
